idJson,site,title,description,analysis_date,possible_false_positive,provide_api_reference,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_a_version_indicator,gather_feedback_from_data_consumers,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,cite_the_original_publication
0,https://dados.es.gov.br/dataset?license_id=cc-by&groups=desenvolvimento-urbano-e-regional,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,https://dados.es.gov.br/dataset?_organization_limit=0&organization=tribunal-de-contas-do-estado-do-espirito-santo,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,https://dados.es.gov.br/dataset/portal-da-transparencia-pessoal/resource/8f6e3eea-5b32-4f32-9a3a-739bf1ec3c7f,[Portal da Transparencia] Pessoal  Remuneracoes-03_2011.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
3,https://dados.es.gov.br/dataset?tags=covid-19,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,https://dados.es.gov.br/dataset?tags=GUIA+DE+TURISMO-+MEI,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,https://dados.es.gov.br/dataset?groups=educacao&_groups_limit=0,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,https://dados.es.gov.br/dataset?license_id=cc-by&tags=recursos+h%C3%ADdricos,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,https://dados.es.gov.br/dataset/pre-medidos/resource/6f0755c4-6963-40a4-bfda-a68ff21faff0,Pre-Medidos  Quantitativo de produtos pre-medidos fiscalizados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,0,0
8,https://dados.es.gov.br/dataset?groups=educacao&license_id=cc-by,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,https://dados.es.gov.br/dataset/portal-da-transparencia-pessoal/resource/1b4bac7c-ed9e-4d86-905a-a534771c9b17,[Portal da Transparencia] Pessoal  Remuneracoes-02_2012.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
10,https://dados.es.gov.br/dataset?tags=Inmetro,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11,https://dados.es.gov.br/dataset/activity/procedimentos-instaurados-pela-pces-maio-2023,Fluxo de Atividades - PROCEDIMENTOS INSTAURADOS PELA PCES MAIO 2023  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,0,0,0,0,0,1,0,0
12,https://dados.es.gov.br/dataset/portal-da-transparencia-compras-publicas/resource/9b4b18f7-f9e0-4137-b638-d11dde5005b6,[Portal da Transparencia] Compras Publicas  Lotes-2014.csv - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,1,0
13,https://dados.es.gov.br/dataset?_organization_limit=0,Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14,https://dados.es.gov.br/dataset/ijsn-pib-estadual/resource/656572b7-b8f6-4f7b-8ae7-366d7342b6a9,[IJSN] PIB Estadual  Conta Producao 2002-2020 - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,0,0
15,https://dados.es.gov.br/dataset/ijsn-pib-dos-municipios,[IJSN] PIB dos Municipios  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,1,0,1,0,1,0,0
16,https://dados.es.gov.br/dataset/groups/portal-da-transparencia-seguranca,[Portal da Transparencia] Alvaras concedidos pelo CBMES  Conjuntos de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17,https://dados.es.gov.br/dataset/ijsn-construcao-civil/resource/b341a8bb-1506-471e-844d-0725afa2f928,[IJSN] Construcao Civil  Base de dados - DADOS ABERTOS,Plataforma online com o objetivo de facilitar o acesso aos dados gerados pelos orgaos do Governo do Estado do Espirito Santo,06/02/2024,0,0,1,1,1,0,1,0,0,1,0,1,0,0
